name,pos,club
Matt Acton,GK,Melbourne Victory
Eli Adams,MID,Melbourne Victory
Rahmat Akbari,MID,Brisbane Roar
Mohamed Al-Taay,DEF,Newcastle Jets
Ethan Alagich,MID,Adelaide United
Tom Aldred,DEF,Brisbane Roar
Romain Amalfitano,MID,Western Sydney Wanderers
Mustafa Amini,MID,Perth Glory
Nick Ansell,DEF,Adelaide United
Terry Antonis,MID,Western Sydney Wanderers
Thomas Aquilina,DEF,Central Coast Mariners
Bachana Arabuli,FWD,Macarthur FC
Carlo Armiento,FWD,Brisbane Roar
Daniel Arzani,MID,Macarthur FC
Jonathan Aspropotamitis,DEF,Macarthur FC
Charlie Austin,FWD,Brisbane Roar
Paul Ayongo,FWD,Central Coast Mariners
Ben Azubel,FWD,Perth Glory
Eli Babalj,FWD,Newcastle Jets
Kearyn Baccus,MID,Macarthur FC
Alexander Badolato,FWD,Western Sydney Wanderers
Maximilien Balard,MID,Central Coast Mariners
David Ball,FWD,Wellington Phoenix
Kosta Barbarouses,FWD,Wellington Phoenix
Jay Barnett,MID,Melbourne Victory
Lachlan Barr,DEF,Adelaide United
Adisu Bayew,MID,Western United
James Bayliss,MID,Central Coast Mariners
Tom Beadling,MID,Western Sydney Wanderers
Mark Beevers,DEF,Perth Glory
Zaydan Bello,DEF,Melbourne Victory
Florin Berenguer,MID,Melbourne City
Valon Berisha,MID,Melbourne City
George Blackwood,FWD,Adelaide United
Nathaniel Blair,FWD,Western Sydney Wanderers
Luke Bodnar,DEF,Perth Glory
Alex Bonetig,DEF,Western Sydney Wanderers
Raphael Borges Rodrigues,FWD,Melbourne City
Brandon Borrello,FWD,Western Sydney Wanderers
Jordan Bos,DEF,Melbourne City
Noah Botic,FWD,Western United
Oliver Bozanic,MID,Western Sydney Wanderers
Rhys Bozinovski,MID,Western United
Luke Brattan,MID,Sydney FC
Joshua Brillante,MID,Melbourne Victory
Jake Brimmer,MID,Melbourne Victory
Josh Brindell-South,DEF,Brisbane Roar
Lleyton Brooks,FWD,Melbourne Victory
Leigh Broxham,UTL,Melbourne Victory
Trent Buhagiar,FWD,Newcastle Jets
Max Burgess,MID,Sydney FC
Antonee Burke-Gilroy,MID,Perth Glory
Diego Caballo,DEF,Sydney FC
Anthony Caceres,MID,Sydney FC
Max Caputo,FWD,Melbourne City
Jarrod Carluccio,FWD,Western Sydney Wanderers
Anthony Carter,FWD,Macarthur FC
Edward Caspers,MID,Macarthur FC
Joshua Cavallo,MID,Adelaide United
Connor Chapman,DEF,Brisbane Roar
Pierce Clark,GK,Perth Glory
Gabriel Cleur,DEF,Western Sydney Wanderers
Jack Clisby,DEF,Perth Glory
Zach Clough,FWD,Adelaide United
Stefan Colakovski,FWD,Perth Glory
Giordano Colli,MID,Perth Glory
Ben Collins,DEF,Western United
Cameron Cook,GK,Perth Glory
Jordan Courtney-Perkins,DEF,Brisbane Roar
Ethan Cox,GK,Adelaide United
Jason Cummings,FWD,Central Coast Mariners
Nicholas D'Agostino,FWD,Melbourne Victory
Louis D'Arrigo,MID,Adelaide United
Jesse Daley,MID,Brisbane Roar
Riku Danzaki,MID,Brisbane Roar
Beka Dartsmelia,MID,Newcastle Jets
Ulises Davila,MID,Macarthur FC
Daniel De Silva,MID,Macarthur FC
Cyrus Dehmie,FWD,Brisbane Roar
James Delianov,GK,Adelaide United
Alessandro Diamanti,MID,Western United
James Donachie,DEF,Sydney FC
Tongo Doumbia,MID,Western United
Jacob Dowse,MID,Perth Glory
Jed Drew,FWD,Macarthur FC
Lachlan Duke,GK,Brisbane Roar
Jack Duncan,GK,Newcastle Jets
Zachary Duncan,MID,Perth Glory
Luke Duzel,MID,Western United
Callan Elliot,MID,Wellington Phoenix
Jordan Elsey,DEF,Newcastle Jets
Jacob Farrell,DEF,Central Coast Mariners
Ben Folami,FWD,Melbourne Victory
Joseph Forde,DEF,Perth Glory
Bruno Fornaroli,FWD,Melbourne Victory
Macklin Freke,GK,Brisbane Roar
Scott Galloway,DEF,Melbourne City
Ben Garuccio,MID,Western United
Joe Gauci,GK,Adelaide United
Jason Geria,DEF,Melbourne Victory
Jake Girdwood-Reich,MID,Sydney FC
Thomas Glover,GK,Melbourne City
Taras Gomulka,MID,Melbourne City
Curtis Good,DEF,Melbourne City
Archie Goodwin,FWD,Newcastle Jets
Craig Goodwin,DEF,Adelaide United
Rhyan Grant,MID,Sydney FC
Konstandinos Grozos,FWD,Newcastle Jets
Marcelo Guedes,DEF,Western Sydney Wanderers
Aaron Gurd,DEF,Sydney FC
Dan Hall,DEF,Central Coast Mariners
Jordon Hall,DEF,Melbourne City
Steven Hall,GK,Adelaide United
Ben Halloran,MID,Adelaide United
Matthew Hatch,MID,Perth Glory
Thomas Heward-Belle,GK,Sydney FC
Jack Hingert,DEF,Brisbane Roar
Jason Hoffman,DEF,Newcastle Jets
Corey Hollman,MID,Sydney FC
Jake Hollman,MID,Macarthur FC
Jordan Holmes,GK,Brisbane Roar
Henry Hore,FWD,Brisbane Roar
Isaac Hovar,DEF,Macarthur FC
Hiroshi Ibusuki,FWD,Adelaide United
Chris Ikonomidis,FWD,Melbourne Victory
Tomoki Imai,DEF,Western United
Dane Ingham,DEF,Newcastle Jets
Nestory Irankunda,FWD,Adelaide United
Luke Ivanovic,FWD,Perth Glory
Paul Izzo,GK,Melbourne Victory
Lachlan Jackson,DEF,Newcastle Jets
Noah James,GK,Newcastle Jets
Scott Jamieson,DEF,Melbourne City
Keegan Jelacic,MID,Perth Glory
Carl Jenkinson,DEF,Newcastle Jets
Kelechi John,DEF,Central Coast Mariners
Dor Jok,MID,Central Coast Mariners
Brad Jones,GK,Perth Glory
Oliver Jones,MID,Macarthur FC
Luka Jovanovic,FWD,Adelaide United
Juande,MID,Adelaide United
Tomi Juric,FWD,Melbourne Victory
Matthew Jurman,DEF,Newcastle Jets
Brian Kaltak,DEF,Central Coast Mariners
Noah Karunaratne,MID,Wellington Phoenix
Asad Kasumovic,FWD,Adelaide United
Levi Kaye,GK,Macarthur FC
Salim Khelifi,MID,Perth Glory
Neil Kilkenny,MID,Western United
Birkan Kirdar,MID,Melbourne Victory
Ryan Kitto,MID,Adelaide United
Samuel Klein,MID,Brisbane Roar
Joe Knowles,FWD,Brisbane Roar
Nathan Konstandopoulos,MID,Melbourne Victory
John Koutroumbis,UTL,Perth Glory
Bozhidar Kraev,MID,Wellington Phoenix
Suleman Krpic,FWD,Western Sydney Wanderers
Jaiden Kucharski,FWD,Sydney FC
Garang Kuol,FWD,Central Coast Mariners
Filip Kurto,GK,Macarthur FC
Darryl Lachman,DEF,Perth Glory
Leo Lacroix,DEF,Western United
Thomas Lam,DEF,Melbourne City
Joshua Laws,MID,Wellington Phoenix
Adam le Fondre,FWD,Sydney FC
Mathew Leckie,MID,Melbourne City
Clayton Lewis,MID,Wellington Phoenix
Jez Lofthouse,FWD,Brisbane Roar
Joe Lolley,MID,Sydney FC
Alessandro Lopane,MID,Western Sydney Wanderers
Enrique Lopez,DEF,Melbourne Victory
Javier Lopez,UTL,Adelaide United
Edmond Lupancu,DEF,Melbourne Victory
Steven Lustica,MID,Western United
Charles M'Mombwa,MID,Macarthur FC
Jamie Maclaren,FWD,Melbourne City
Panashe Madanha,FWD,Adelaide United
Robert Mak,MID,Sydney FC
Rai Marchan,MID,Melbourne Victory
Daniel Margush,GK,Western Sydney Wanderers
Dalibor Markovic,DEF,Western United
Lucas Mauragis,FWD,Wellington Phoenix
Aaron McEneff,MID,Perth Glory
James McGarry,MID,Newcastle Jets
Jake McGing,DEF,Macarthur FC
Jack Mcloughlin,MID,Macarthur FC
Brandon McMorrow,MID,Brisbane Roar
James Meredith,DEF,Macarthur FC
Beka Mikeltadze,FWD,Newcastle Jets
Nicolas Milanovic,FWD,Western United
Nikola Mileusnic,MID,Brisbane Roar
Matthew Millar,DEF,Macarthur FC
Roderick Miranda,DEF,Melbourne Victory
Anton Mlinaric,DEF,Brisbane Roar
Moresche,FWD,Central Coast Mariners
Tomislav Mrcela,DEF,Western Sydney Wanderers
Jacob Muir,DEF,Perth Glory
Andrew Nabbout,FWD,Melbourne City
Moudi Najjar,FWD,Macarthur FC
Ramy Najjarine,MID,Western Sydney Wanderers
Nani,FWD,Melbourne Victory
Mark Natta,DEF,Newcastle Jets
Scott Neville,DEF,Brisbane Roar
Yeni Ngabakoto,MID,Western Sydney Wanderers
Calem Nieuwenhof,MID,Western Sydney Wanderers
James Nieuwenhuizen,GK,Melbourne City
Stefan Nigro,MID,Melbourne Victory
Milos Ninkovic,MID,Western Sydney Wanderers
Joshua Nisbet,MID,Central Coast Mariners
Pacifique Niyongabire,MID,Perth Glory
Beni Nkololo,MID,Central Coast Mariners
Craig Noone,MID,Macarthur FC
Nick O'Connell,GK,Brisbane Roar
Aiden O'Neill,MID,Melbourne City
Brandon O'Neill,MID,Newcastle Jets
Jay O'Shea,MID,Brisbane Roar
Connor O'Toole,DEF,Sydney FC
Benjamin Old,MID,Wellington Phoenix
Bernardo Oliveira,MID,Adelaide United
Luke Oresti,MID,Melbourne City
Trent Ostler,FWD,Perth Glory
Mitchell Oxborrow,MID,Perth Glory
Connor Pain,UTL,Western United
Alex Parsons,MID,Sydney FC
Sebastian Pasquali,MID,Western United
Alex Paulsen,GK,Wellington Phoenix
Adam Pavlesic,GK,Sydney FC
Tim Payne,MID,Wellington Phoenix
Nicholas Pennington,MID,Wellington Phoenix
Dylan Pierias,DEF,Western United
Reno Piscopo,MID,Newcastle Jets
Harry Politidis,DEF,Melbourne City
Alexandar Popovic,DEF,Adelaide United
Aleksandar Prijovic,FWD,Western United
Luka Prso,MID,Melbourne Victory
Liam Reddy,GK,Perth Glory
Andrew Redmayne,GK,Sydney FC
Nuno Reis,DEF,Melbourne City
Paulo Retre,MID,Sydney FC
Josh Risdon,DEF,Western United
Jack Rodwell,DEF,Sydney FC
Lachlan Rose,FWD,Macarthur FC
Storm Roux,DEF,Central Coast Mariners
Alex Rufer,MID,Wellington Phoenix
Michael Ruhs,MID,Central Coast Mariners
Tate Russell,DEF,Western Sydney Wanderers
Oliver Sail,GK,Wellington Phoenix
Isaias Sanchez,MID,Adelaide United
Zachary Sapsford,MID,Western Sydney Wanderers
Adrian Sardinero,FWD,Perth Glory
Yan Sasse,MID,Wellington Phoenix
Ryan Scott,GK,Western United
Adrian Segecic,DEF,Sydney FC
Samuel Silvera,FWD,Central Coast Mariners
Jerry Skotadis,MID,Macarthur FC
Noah Smith,DEF,Melbourne Victory
Jaushua Sotirio,FWD,Newcastle Jets
Yaren Sozer,GK,Central Coast Mariners
Matthew Spiranovic,DEF,Melbourne Victory
Harrison Steele,MID,Central Coast Mariners
Matti Steinmann,MID,Brisbane Roar
Kerrin Stokes,DEF,Melbourne City
Daniel Stynes,FWD,Newcastle Jets
Nicholas Suman,GK,Macarthur FC
Finn Surman,DEF,Wellington Phoenix
Aleksandar Susnjar,DEF,Macarthur FC
Matt Sutton,GK,Melbourne City
Sam Sutton,MID,Wellington Phoenix
Callum Talbot,DEF,Melbourne City
Ahmad Taleb,GK,Melbourne Victory
Brad Tapp,MID,Central Coast Mariners
Christian Theoharous,FWD,Western United
Lawrence Thomas,GK,Western Sydney Wanderers
Angus Thurgate,MID,Newcastle Jets
Marco Tilio,FWD,Melbourne City
Callum Timmins,MID,Newcastle Jets
George Timotheou,DEF,Melbourne Victory
Ruon Tongyik,DEF,Western Sydney Wanderers
Nikolai Topor-Stanley,DEF,Western United
Al Hassan Toure,FWD,Macarthur FC
Musa Toure,FWD,Adelaide United
Adama Traore,DEF,Western Sydney Wanderers
Jacob Tratt,DEF,Western United
Kai Trewin,DEF,Brisbane Roar
Nectarios Triantis,MID,Central Coast Mariners
James Troisi,MID,Western United
Marco Tulio,DEF,Central Coast Mariners
Steven Ugarkovic,MID,Wellington Phoenix
Tomislav Uskok,DEF,Macarthur FC
Jordi Valadon,MID,Melbourne City
Harry Van der Saag,DEF,Adelaide United
Richard van der Venne,MID,Melbourne City
Oskar van Hattum,FWD,Wellington Phoenix
Nishan Velupillay,FWD,Melbourne Victory
Adrian Vlastelica,DEF,Sydney FC
Ivan Vujica,DEF,Macarthur FC
Danny Vukovic,GK,Central Coast Mariners
Ben Waine,FWD,Wellington Phoenix
Lachlan Wales,MID,Western United
Ben Warland,DEF,Adelaide United
Jack Warshawsky,GK,Western Sydney Wanderers
Jesper Webber,MID,Macarthur FC
Michael Weier,GK,Newcastle Jets
Dylan Wenzel-Halls,FWD,Western United
Alex Wilkinson,DEF,Sydney FC
David Williams,FWD,Perth Glory
Mario Williams,UTL,Macarthur FC
Rhys Williams,DEF,Western Sydney Wanderers
Ryan Williams,MID,Perth Glory
Daniel Wilmering,DEF,Western Sydney Wanderers
Brandon Wilson,MID,Newcastle Jets
William Wilson,MID,Melbourne Victory
Cameron Windust,DEF,Central Coast Mariners
Patrick Wood,FWD,Sydney FC
Scott Wootton,DEF,Wellington Phoenix
Patrick Yazbek,MID,Sydney FC
Kusini Yengi,FWD,Western Sydney Wanderers
Rhys Youlley,MID,Macarthur FC
Jacob Young,DEF,Perth Glory
Jamie Young,GK,Western United
Jonny Yull,MID,Adelaide United
Louis Zabala,MID,Brisbane Roar
Oskar Zawada,FWD,Wellington Phoenix
Adam Zimarino,MID,Perth Glory
